hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,34,2015,November,5,2,8,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,27,2015,November,6,2,7,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,35,2015,November,6,4,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,6,4,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,6,4,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,6,2,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,1,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,DEU,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,1,36,2015,November,7,2,6,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Canceled,04/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,DEU,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,BEL,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,28,2015,November,7,2,6,1,0.0,BB,CZE,Corporate,Corporate,0,0,0,A,D,1,No Deposit,328.0,281.0,0,Transient-Party,42.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,GBR,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.75,1,0,Check-Out,15/11/2015
Resort Hotel,0,17,2015,November,8,2,5,2,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,17,2015,November,8,2,5,2,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,D,1,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,1,37,2015,November,8,2,5,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Canceled,23/10/2015
Resort Hotel,0,0,2015,November,9,1,0,2,0.0,BB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,334.0,281.0,0,Group,48.0,0,0,Check-Out,10/11/2015
Resort Hotel,1,38,2015,November,9,1,5,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,3,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,No-Show,09/11/2015
Resort Hotel,1,30,2015,November,9,2,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,4,No Deposit,326.0,281.0,0,Transient-Party,48.0,0,0,No-Show,09/11/2015
Resort Hotel,0,32,2015,November,11,0,4,1,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,C,4,No Deposit,324.0,324.0,0,Transient-Party,40.5,1,0,Check-Out,15/11/2015
Resort Hotel,1,40,2015,November,11,0,4,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Canceled,11/11/2015
Resort Hotel,0,40,2015,November,11,0,4,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,32,2015,November,11,0,4,2,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,C,4,No Deposit,324.0,324.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,32,2015,November,11,0,3,1,0.0,BB,DEU,Corporate,Corporate,0,0,0,A,A,3,No Deposit,324.0,324.0,0,Transient,36.0,0,0,Check-Out,14/11/2015
Resort Hotel,0,33,2015,November,12,0,2,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,C,3,No Deposit,324.0,324.0,0,Transient-Party,36.0,0,0,Check-Out,14/11/2015
Resort Hotel,0,41,2015,November,12,0,3,2,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,33,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,E,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,33,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,C,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,21,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,33,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,3,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,21,2015,November,12,0,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,1,33,2015,November,12,0,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,324.0,324.0,0,Transient-Party,36.0,0,0,Canceled,09/11/2015
Resort Hotel,0,33,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,E,4,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,1,3,2015,November,12,0,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Canceled,12/11/2015
Resort Hotel,0,33,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,C,1,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,21,2015,November,12,0,3,2,0.0,BB,NLD,Corporate,Corporate,0,0,0,A,D,2,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,33,2015,November,12,0,3,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,C,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,1,0,Check-Out,15/11/2015
Resort Hotel,1,41,2015,November,12,1,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Canceled,09/11/2015
Resort Hotel,1,41,2015,November,12,1,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Canceled,23/10/2015
Resort Hotel,1,41,2015,November,12,1,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Canceled,09/11/2015
Resort Hotel,1,41,2015,November,12,1,3,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Canceled,23/10/2015
Resort Hotel,0,33,2015,November,12,0,2,1,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,F,4,No Deposit,324.0,324.0,0,Transient-Party,36.0,0,0,Check-Out,14/11/2015
Resort Hotel,0,2,2015,November,13,0,1,2,0.0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,14/11/2015
Resort Hotel,0,15,2015,November,13,0,2,2,0.0,BB,ITA,Corporate,Corporate,0,0,0,E,E,0,No Deposit,185.0,281.0,0,Transient-Party,58.2,1,0,Check-Out,15/11/2015
Resort Hotel,1,7,2016,May,11,0,1,1,0.0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,405.0,405.0,0,Transient-Party,70.0,0,0,No-Show,11/05/2016
Resort Hotel,0,364,2016,October,12,1,4,3,0.0,BB,GBR,Groups,Direct,0,0,0,A,C,2,No Deposit,223.0,223.0,0,Transient-Party,101.0,0,0,Check-Out,17/10/2016
Resort Hotel,1,114,2017,June,19,1,4,2,1.0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,5.0,250.0,0,Transient,117.5,0,0,Canceled,15/05/2017
Resort Hotel,0,5,2015,December,9,0,2,1,0.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,61.0,0,Transient,25.0,0,0,Check-Out,11/12/2015
Resort Hotel,0,18,2017,January,30,1,1,1,0.0,BB,ITA,Online TA,TA/TO,0,2,2,A,D,0,No Deposit,240.0,268.0,0,Transient-Party,53.0,0,1,Check-Out,01/02/2017
Resort Hotel,0,7,2015,October,29,0,1,1,0.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,331.0,0,Transient,35.1,0,0,Check-Out,30/10/2015
Resort Hotel,0,24,2015,October,26,9,21,1,0.0,SC,PRT,Complementary,Corporate,1,0,4,E,I,5,No Deposit,185.0,281.0,0,Transient-Party,0.0,0,2,Check-Out,25/11/2015
Resort Hotel,0,17,2017,January,29,2,1,1,0.0,BB,ITA,Online TA,Direct,1,0,1,A,A,0,No Deposit,240.0,268.0,0,Transient-Party,49.67,0,1,Check-Out,01/02/2017
Resort Hotel,0,12,2016,May,16,1,0,1,0.0,BB,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,184.0,146.0,0,Group,70.0,0,0,Check-Out,17/05/2016
Resort Hotel,0,11,2015,November,2,1,4,2,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,07/11/2015
Resort Hotel,0,23,2015,November,2,1,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,324.0,324.0,0,Transient,86.4,0,0,Check-Out,08/11/2015
Resort Hotel,0,31,2015,November,2,2,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,5,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,09/11/2015
Resort Hotel,0,33,2015,November,12,0,2,1,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,C,4,No Deposit,324.0,324.0,0,Transient-Party,36.0,0,0,Check-Out,14/11/2015
Resort Hotel,0,21,2015,November,12,0,2,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,B,1,No Deposit,324.0,324.0,0,Transient-Party,48.0,0,0,Check-Out,14/11/2015
Resort Hotel,0,39,2015,November,10,0,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,42.0,1,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,USA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,14,2015,November,12,0,3,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,F,2,No Deposit,185.0,281.0,0,Transient-Party,58.2,1,0,Check-Out,15/11/2015
Resort Hotel,0,15,2015,November,13,0,2,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,GBR,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,28,2015,November,7,2,6,1,0.0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,328.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,28,2015,November,7,2,6,1,0.0,BB,ITA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,328.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,30,2015,November,9,1,5,2,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,4,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,1,0.0,BB,GBR,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,37.43,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,1,0.0,BB,BEL,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,27,2015,November,6,2,7,2,0.0,BB,MEX,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334.0,281.0,0,Transient-Party,49.11,0,0,Check-Out,15/11/2015
Resort Hotel,0,24,2015,November,3,2,10,2,0.0,BB,ITA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,326.0,281.0,0,Transient-Party,49.5,1,0,Check-Out,15/11/2015
Resort Hotel,0,30,2015,November,1,4,10,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,49.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,2,3,10,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,58.2,1,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,2,3,10,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,2,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,2,3,10,2,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,4,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,35,2015,November,6,2,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,2,3,10,2,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,4,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,35,2015,November,6,2,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,1,0.0,BB,GBR,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,58.2,1,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,35,2015,November,6,2,7,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,58.2,1,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,2,0.0,BB,GBR,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,53.45,0,0,Check-Out,15/11/2015
Resort Hotel,0,41,2015,November,12,0,3,2,0.0,BB,AUT,Corporate,Corporate,0,0,0,A,D,3,No Deposit,185.0,281.0,0,Transient-Party,49.2,1,0,Check-Out,15/11/2015
Resort Hotel,0,41,2015,November,12,0,3,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,1,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,2,3,10,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,2,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,19,2015,November,14,0,1,2,0.0,BB,CZE,Corporate,Corporate,0,0,0,A,A,0,Non Refund,328.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,7,2,6,1,0.0,BB,GBR,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,15,2015,November,6,2,7,1,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,8,2,5,1,0.0,BB,GBR,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,15/11/2015
Resort Hotel,0,34,2015,November,5,2,8,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,F,4,No Deposit,185.0,281.0,0,Transient-Party,37.6,0,0,Check-Out,15/11/2015
Resort Hotel,0,25,2015,November,4,3,9,2,0.0,BB,CZE,Corporate,Corporate,0,0,0,A,A,2,No Deposit,328.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,16/11/2015
Resort Hotel,0,12,2015,November,3,3,10,2,0.0,BB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,328.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,16/11/2015
Resort Hotel,0,24,2015,November,3,3,10,1,0.0,BB,CZE,Corporate,Corporate,0,0,0,A,A,5,No Deposit,328.0,281.0,0,Transient,40.0,0,0,Check-Out,16/11/2015
Resort Hotel,0,24,2015,November,3,3,10,1,0.0,BB,CHE,Corporate,Corporate,0,0,0,A,A,2,No Deposit,334.0,281.0,0,Transient-Party,40.0,0,0,Check-Out,16/11/2015
Resort Hotel,0,24,2015,November,3,3,10,2,0.0,BB,FRA,Corporate,Corporate,0,0,0,A,A,2,No Deposit,334.0,281.0,0,Transient-Party,48.0,0,0,Check-Out,16/11/2015
Resort Hotel,0,36,2015,November,7,3,6,1,0.0,BB,DEU,Corporate,Corporate,0,0,0,A,A,3,No Deposit,185.0,281.0,0,Transient-Party,36.0,0,0,Check-Out,16/11/2015
Resort Hotel,0,31,2015,November,2,5,10,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,E,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,17/11/2015
Resort Hotel,0,24,2015,October,26,7,15,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,E,G,2,No Deposit,185.0,281.0,0,Transient-Party,52.2,1,0,Check-Out,17/11/2015
Resort Hotel,0,31,2015,November,2,5,10,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,G,2,No Deposit,185.0,281.0,0,Transient-Party,57.0,1,0,Check-Out,17/11/2015
Resort Hotel,0,24,2015,October,26,7,15,1,0.0,BB,AUT,Corporate,Corporate,0,0,0,E,F,2,No Deposit,185.0,281.0,0,Transient-Party,58.2,1,0,Check-Out,17/11/2015
Resort Hotel,0,31,2015,November,2,5,10,2,0.0,BB,AUS,Corporate,Corporate,0,0,0,E,E,5,No Deposit,185.0,281.0,0,Transient-Party,52.2,0,0,Check-Out,17/11/2015
Resort Hotel,0,1,2017,March,1,0,1,1,0.0,BB,PRT,Direct,Direct,1,0,5,A,A,0,No Deposit,250.0,399.0,0,Transient,34.2,0,1,Check-Out,02/03/2017
Resort Hotel,0,0,2015,November,30,1,1,2,0.0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,331.0,0,Transient,48.0,0,0,Check-Out,02/12/2015
Resort Hotel,0,8,2016,January,5,0,3,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,139.0,99.0,0,Transient,38.0,0,0,Check-Out,08/01/2016
Resort Hotel,0,17,2016,May,2,1,0,1,0.0,BB,PRT,Direct,Direct,1,0,2,D,D,0,No Deposit,250.0,399.0,0,Transient-Party,81.0,0,0,Check-Out,03/05/2016
Resort Hotel,0,3,2016,February,15,1,2,1,0.0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,139.0,99.0,0,Transient,30.0,0,0,Check-Out,18/02/2016
Resort Hotel,0,10,2016,March,14,1,2,1,0.0,BB,PRT,Corporate,Corporate,1,0,1,A,A,2,No Deposit,139.0,99.0,0,Transient,37.0,0,0,Check-Out,17/03/2016
Resort Hotel,1,4,2016,April,4,1,2,1,0.0,BB,PRT,Corporate,Corporate,1,0,2,A,D,2,No Deposit,139.0,99.0,0,Transient,67.5,0,0,Canceled,04/04/2016
Resort Hotel,0,17,2016,May,2,1,0,1,0.0,BB,PRT,Direct,Direct,1,0,1,D,D,0,No Deposit,250.0,399.0,0,Transient-Party,81.0,0,0,Check-Out,03/05/2016
Resort Hotel,0,17,2016,May,2,1,0,1,0.0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,399.0,0,Transient-Party,81.0,0,0,Check-Out,03/05/2016
Resort Hotel,0,2,2016,May,15,1,0,1,0.0,BB,GBR,Direct,TA/TO,0,0,0,A,A,0,No Deposit,405.0,405.0,0,Group,76.0,1,0,Check-Out,16/05/2016
Resort Hotel,0,3,2016,May,15,1,0,1,0.0,BB,PRT,Direct,TA/TO,0,0,0,A,D,0,Refundable,405.0,405.0,0,Transient-Party,70.0,0,0,Check-Out,16/05/2016
Resort Hotel,0,0,2016,May,15,1,0,2,0.0,BB,GBR,Direct,TA/TO,1,0,0,A,D,0,Refundable,405.0,405.0,0,Group,70.0,0,0,Check-Out,16/05/2016
Resort Hotel,0,0,2016,May,15,1,0,2,0.0,BB,GBR,Direct,TA/TO,1,0,0,A,D,0,Refundable,405.0,405.0,0,Group,70.0,1,0,Check-Out,16/05/2016
Resort Hotel,0,9,2016,July,4,1,0,2,0.0,BB,GBR,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,360.0,0,Transient-Party,189.0,0,0,Check-Out,05/07/2016
Resort Hotel,0,2,2016,July,9,0,1,2,2.0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,250.0,419.0,0,Transient,246.0,0,0,Check-Out,10/07/2016
